1,Golden State Warriors,1,102,96
2,Phoenix Suns,1,102,112
3,Los Angeles Lakers,1,96,105
4,San Diego Clippers,1,107,111
5,Phoenix Suns,0,116,104
6,Milwaukee Bucks,1,111,113
7,New Jersey Nets,0,108,103
8,Utah Jazz,1,105,113
9,Portland Trail Blazers,1,93,95
10,Seattle SuperSonics,1,97,108
11,Los Angeles Lakers,0,105,111
12,Denver Nuggets,1,99,113
13,Milwaukee Bucks,0,134,136
14,Seattle SuperSonics,0,97,114
15,San Diego Clippers,0,107,92
16,Portland Trail Blazers,0,90,94
17,Houston Rockets,0,127,128
18,Washington Bullets,1,105,118
19,Kansas City Kings,1,97,103
20,Philadelphia 76ers,0,106,103
21,Denver Nuggets,0,91,124
22,Atlanta Hawks,0,103,98
23,Golden State Warriors,0,101,106
24,San Diego Clippers,1,103,128
25,Los Angeles Lakers,1,107,100
26,Phoenix Suns,1,86,99
27,Golden State Warriors,1,90,97
28,Portland Trail Blazers,1,95,93
29,Seattle SuperSonics,1,121,112
30,Portland Trail Blazers,0,104,93
31,Washington Bullets,0,113,115
32,Los Angeles Lakers,0,118,129
33,Houston Rockets,1,108,102
34,Phoenix Suns,0,117,127
35,Cleveland Cavaliers,0,126,117
36,Milwaukee Bucks,1,101,110
37,New York Knicks,0,102,120
38,San Diego Clippers,0,121,118
39,New York Knicks,1,117,124
40,Milwaukee Bucks,0,110,102
41,Kansas City Kings,1,83,104
42,Indiana Pacers,0,105,110
43,Detroit Pistons,1,102,107
44,Kansas City Kings,0,111,109
45,Boston Celtics,1,104,114
46,Utah Jazz,0,102,107
47,Denver Nuggets,0,117,108
48,Detroit Pistons,0,145,131
49,Kansas City Kings,0,113,107
50,Atlanta Hawks,1,104,109
51,New Jersey Nets,1,127,128
52,Boston Celtics,0,99,103
53,Los Angeles Lakers,0,97,107
54,Utah Jazz,1,106,116
55,Denver Nuggets,1,111,122
56,Phoenix Suns,0,109,113
57,Cleveland Cavaliers,1,123,117
58,Golden State Warriors,0,100,94
59,Milwaukee Bucks,1,101,111
60,San Antonio Spurs,0,124,131
61,Philadelphia 76ers,1,92,100
62,Indiana Pacers,1,100,108
63,Seattle SuperSonics,0,115,106
64,San Antonio Spurs,1,117,125
65,San Diego Clippers,0,110,102
66,Utah Jazz,0,105,85
67,Seattle SuperSonics,1,101,108
68,Portland Trail Blazers,1,107,110
69,Golden State Warriors,1,106,105
70,Los Angeles Lakers,1,99,101
71,Phoenix Suns,1,103,113
72,Kansas City Kings,0,100,98
73,Seattle SuperSonics,0,101,122
74,Portland Trail Blazers,0,110,108
75,San Diego Clippers,1,115,101
76,Utah Jazz,1,100,103
77,Denver Nuggets,0,128,134
78,Golden State Warriors,0,129,115
79,Milwaukee Bucks,0,111,122
80,Denver Nuggets,1,122,115
81,Utah Jazz,0,111,106
82,Kansas City Kings,1,110,114